,ACTB,AKT1,CD36,CD44,IL6,INS,PTPRC,TFRC,TNF,label
0,12150.0,1309.0,2724.0,467.0,8.0,0.0,76.0,24789.0,0.0,1
1,15280.0,1648.0,4315.0,1423.0,8.0,0.0,100.0,11953.0,0.0,1
2,13324.0,1309.0,1693.0,476.0,33.0,0.0,64.0,11993.0,0.0,1
3,12113.0,1816.0,1138.0,488.0,14.0,0.0,73.0,7821.0,0.0,1
4,18278.0,2542.0,4330.0,412.0,14.0,0.0,49.0,6527.0,0.0,1
5,19568.0,2883.0,3765.0,1485.0,22.0,0.0,110.0,10993.0,0.0,1
6,12848.0,1637.0,2374.0,769.0,10.0,0.0,94.0,12201.0,0.0,1
7,31840.0,2330.0,2055.0,2288.0,44.0,0.0,425.0,14814.0,0.0,1
8,17615.0,1605.0,966.0,597.0,14.0,0.0,107.0,6432.0,0.0,1
9,13169.0,1811.0,2770.0,896.0,11.0,0.0,114.0,10150.0,0.0,0
10,14156.0,1453.0,1587.0,936.0,8.0,0.0,87.0,8633.0,1.0,0
11,9380.0,1724.0,681.0,562.0,10.0,0.0,91.0,10940.0,5.0,0
12,16519.0,2565.0,2003.0,1927.0,17.0,0.0,98.0,8594.0,7.0,0
13,17443.0,1947.0,1467.0,1011.0,8.0,1.0,155.0,10286.0,0.0,0
14,17287.0,2028.0,971.0,1298.0,32.0,0.0,143.0,8816.0,0.0,0
15,14509.0,2218.0,2143.0,1185.0,16.0,0.0,178.0,5731.0,0.0,0
16,16070.0,2221.0,1853.0,1745.0,6.0,0.0,159.0,9623.0,0.0,0
17,15610.0,2330.0,2064.0,906.0,17.0,0.0,132.0,13768.0,0.0,0
18,11582.0,1742.0,1286.0,383.0,3.0,0.0,155.0,16870.0,0.0,0
19,10360.0,1918.0,1158.0,1570.0,7.0,0.0,78.0,9918.0,0.0,0
20,10480.0,1796.0,879.0,724.0,5.0,0.0,84.0,15856.0,0.0,0
21,9042.0,1940.0,1856.0,1844.0,10.0,0.0,132.0,8616.0,1.0,0
22,7946.0,1638.0,911.0,501.0,6.0,0.0,74.0,11196.0,4.0,0
23,14525.0,2290.0,2607.0,1975.0,18.0,0.0,290.0,21342.0,6.0,0
24,26414.0,3130.0,1004.0,762.0,22.0,0.0,154.0,7039.0,0.0,0
25,18879.0,2767.0,1191.0,928.0,10.0,0.0,101.0,14085.0,0.0,0
26,22469.0,1810.0,1374.0,1112.0,23.0,0.0,175.0,12162.0,0.0,0
27,20624.0,2093.0,1708.0,2555.0,29.0,0.0,174.0,8194.0,0.0,0
28,20827.0,2078.0,1046.0,1382.0,24.0,0.0,132.0,12653.0,3.0,0
29,18824.0,1573.0,1707.0,1784.0,12.0,0.0,135.0,11753.0,0.0,0
30,29853.0,2133.0,1410.0,1633.0,44.0,0.0,156.0,7732.0,0.0,0
31,25549.0,3281.0,2248.0,2950.0,14.0,0.0,205.0,11940.0,0.0,0
32,12887.0,1604.0,1248.0,612.0,10.0,0.0,82.0,6380.0,0.0,0
33,16278.0,1780.0,1719.0,1100.0,3.0,0.0,151.0,9993.0,3.0,0
34,17764.0,2189.0,268.0,1511.0,22.0,0.0,100.0,6410.0,1.0,0
35,11680.0,1892.0,1693.0,469.0,4.0,0.0,115.0,23166.0,1.0,0
36,17015.0,2180.0,1331.0,3450.0,15.0,0.0,112.0,12402.0,0.0,0
37,16843.0,2651.0,1288.0,990.0,11.0,0.0,115.0,13293.0,0.0,0
38,12512.0,1843.0,837.0,922.0,12.0,0.0,133.0,8364.0,1.0,0
39,16176.0,2001.0,1428.0,909.0,14.0,0.0,142.0,12331.0,4.0,0
40,22056.0,2854.0,1652.0,2038.0,15.0,0.0,144.0,10314.0,0.0,0
41,6445.0,51.0,81.0,482.0,0.0,0.0,1191.0,87.0,5.0,0
42,12963.0,158.0,126.0,495.0,0.0,0.0,2194.0,205.0,0.0,0
43,107033.0,2525.0,1925.0,2831.0,10.0,1.0,127.0,1296.0,12.0,0
44,57525.0,2860.0,130.0,1680.0,12.0,0.0,776.0,1434.0,2.0,0
45,51548.0,4409.0,301.0,3187.0,63.0,0.0,305.0,2339.0,0.0,0
46,56063.0,1742.0,26.0,10428.0,81.0,0.0,527.0,1622.0,108.0,0
47,65009.0,1772.0,134.0,918.0,84.0,0.0,300.0,883.0,27.0,0
48,80146.0,787.0,62.0,2194.0,1.0,3.0,79.0,400.0,10.0,0
49,40368.0,1658.0,250.0,4939.0,7.0,0.0,254.0,820.0,16.0,0
50,57586.0,1422.0,139.0,3862.0,6.0,0.0,294.0,757.0,24.0,0
51,27334.0,1552.0,19.0,1330.0,1.0,0.0,250.0,953.0,5.0,0
52,36358.0,1248.0,192.0,1663.0,94.0,1.0,92.0,272.0,19.0,0
53,49816.0,2187.0,23.0,1816.0,55.0,0.0,172.0,897.0,0.0,0
54,25998.0,1112.0,29.0,2060.0,339.0,0.0,312.0,424.0,360.0,0
55,51275.0,2728.0,72.0,12853.0,611.0,0.0,700.0,2513.0,270.0,0
56,92622.0,5483.0,109.0,4894.0,230.0,1.0,618.0,2979.0,0.0,0
57,68789.0,1637.0,29.0,2943.0,321.0,0.0,1285.0,1643.0,24.0,0
58,77519.0,4166.0,216.0,5756.0,51.0,0.0,1463.0,1441.0,39.0,0
59,101380.0,4172.0,1390.0,15266.0,46.0,2.0,397.0,2508.0,3.0,1
60,71735.0,2693.0,992.0,3665.0,33.0,8.0,249.0,842.0,15.0,1
61,53370.0,1696.0,904.0,3393.0,13.0,0.0,1399.0,1736.0,0.0,1
62,79102.0,2474.0,54.0,17899.0,515.0,0.0,2770.0,4261.0,112.0,1
63,101740.0,3364.0,2653.0,9004.0,23.0,0.0,1748.0,1899.0,10.0,1
64,90045.0,4586.0,790.0,6978.0,61.0,0.0,1527.0,1874.0,14.0,1
65,30133.0,1643.0,667.0,3987.0,1098.0,16.0,274.0,709.0,173.0,1
66,41496.0,1875.0,1691.0,14342.0,17.0,3.0,362.0,1498.0,3.0,1
67,72447.0,3456.0,1879.0,12260.0,16.0,4.0,1377.0,3724.0,0.0,1
68,71354.0,2959.0,579.0,10764.0,18.0,0.0,773.0,1578.0,0.0,1
69,68812.0,2109.0,56.0,2679.0,13.0,0.0,806.0,1488.0,0.0,1
70,65117.0,3197.0,1236.0,19270.0,36.0,3.0,319.0,1489.0,10.0,1
71,23149.0,1701.0,1910.0,2713.0,5.0,0.0,627.0,769.0,4.0,1
72,30863.0,1141.0,295.0,4740.0,10.0,0.0,220.0,647.0,0.0,1
73,56863.0,3760.0,1930.0,10856.0,20.0,0.0,397.0,2320.0,4.0,1
74,41913.0,2327.0,66.0,7328.0,13.0,0.0,1871.0,1927.0,0.0,1
75,85580.0,3753.0,129.0,8458.0,10.0,0.0,3050.0,3216.0,0.0,1
76,107179.0,3882.0,2152.0,12903.0,66.0,1.0,1595.0,3220.0,0.0,1
77,19943.0,1961.0,123.0,3353.0,4.0,0.0,138.0,672.0,1.0,1
78,128814.0,3585.0,557.0,5423.0,11.0,3.0,2381.0,1073.0,6.0,1
79,83942.0,3103.0,1957.0,9620.0,53.0,1.0,257.0,999.0,9.0,1
80,108702.0,4380.0,1219.0,14282.0,52.0,0.0,2397.0,4242.0,0.0,1
81,111909.0,3516.0,1516.0,11935.0,32.0,1.0,633.0,1708.0,18.0,1
82,103738.0,2951.0,851.0,12168.0,47.0,3.0,156.0,803.0,9.0,1
83,135753.9228,2835.179,8.1157,7587.8622,0.9642,0.0,29991.2696,6485.8741,136.5471,0
84,95729.7586,2064.1461,16.3394,6203.547,0.0,0.0,23838.3331,5598.5445,152.2972,0
85,107155.1313,2358.4907,9.3905,5145.0644,0.0,0.0,24145.9655,8652.1166,113.7682,0
86,164366.1528,3697.4095,9.5154,12412.3597,3.9761,0.0,32247.7695,8964.1293,15.3117,0
87,121088.8589,2843.0295,9.01,8207.0286,3.8932,0.0,25459.001,8381.8691,10.6324,0
88,142880.8284,3323.0056,8.0631,10597.8172,5.882,0.0,35612.6032,7397.7747,22.6295,0
89,205405.7168,4618.0657,16.3168,10405.5952,0.0,0.0,27064.3918,16504.8242,30.9541,0
